Job ID, Arrival Time, Wait Time, Run Time, Response Time
0, 0, 0, 3, 0
1, 1, 0, 3, 0
2, 5, 0, 3, 0
6, 17, 0, 8, 0
8, 23, 0, 2, 0
5, 24, 1, 11, 0
15, 26, 0, 10, 0
17, 27, 0, 6, 0
10, 26, 2, 13, 0
14, 28, 0, 4, 0
3, 10, 10, 10, 0
16, 28, 1, 10, 1
30, 30, 1, 8, 1
32, 31, 1, 1, 1
4, 11, 10, 13, 0
28, 32, 1, 3, 1
36, 33, 0, 10, 0
35, 33, 1, 10, 1
27, 33, 1, 8, 1
43, 35, 1, 1, 1
41, 35, 1, 7, 1
39, 35, 1, 10, 1
47, 36, 1, 8, 1
52, 36, 1, 9, 1
46, 36, 2, 3, 2
70, 37, 2, 8, 2
62, 38, 2, 1, 2
79, 38, 3, 8, 3
68, 39, 3, 4, 3
77, 39, 3, 2, 3
57, 39, 4, 10, 4
76, 39, 4, 6, 4
65, 40, 4, 3, 4
75, 40, 5, 3, 5
94, 40, 6, 10, 6
69, 41, 5, 7, 5
71, 41, 6, 6, 6
93, 42, 7, 7, 7
82, 42, 7, 7, 7
13, 27, 23, 1, 0
98, 43, 7, 6, 7
12, 29, 23, 3, 1
7, 28, 23, 14, 0
9, 31, 20, 4, 0
11, 32, 20, 12, 0
21, 32, 22, 12, 2
18, 32, 22, 4, 2
19, 31, 22, 1, 1
23, 32, 21, 7, 1
24, 33, 21, 8, 1
20, 33, 22, 3, 2
26, 34, 21, 15, 2
25, 35, 20, 12, 1
33, 36, 19, 4, 1
31, 34, 20, 1, 0
22, 34, 21, 14, 1
42, 36, 18, 12, 0
51, 37, 19, 3, 1
29, 36, 20, 6, 1
40, 37, 19, 1, 1
34, 38, 18, 6, 0
58, 40, 18, 13, 2
45, 38, 19, 14, 1
50, 37, 19, 13, 0
56, 39, 18, 12, 1
37, 40, 19, 3, 2
44, 40, 19, 14, 2
38, 40, 19, 1, 2
48, 42, 19, 9, 3
63, 42, 18, 5, 2
61, 41, 19, 3, 2
59, 41, 19, 15, 2
67, 42, 18, 11, 2
73, 43, 19, 14, 3
53, 42, 19, 10, 2
49, 43, 19, 5, 3
54, 44, 19, 8, 3
72, 46, 18, 2, 4
55, 44, 19, 4, 3
80, 44, 19, 11, 3
60, 45, 19, 13, 4
91, 46, 19, 15, 4
90, 46, 19, 3, 4
74, 46, 19, 9, 4
83, 48, 19, 2, 5
87, 48, 19, 12, 5
97, 47, 20, 5, 5
78, 47, 20, 8, 5
85, 48, 19, 15, 5
64, 49, 20, 3, 6
81, 49, 20, 7, 6
86, 50, 20, 2, 7
66, 50, 21, 6, 7
88, 51, 20, 14, 7
84, 50, 21, 6, 7
96, 50, 20, 12, 6
92, 50, 21, 8, 7
95, 52, 20, 1, 7
89, 52, 21, 9, 8
99, 52, 19, 4, 6
