Job ID, Arrival Time, Wait Time, Run Time, Response Time
2, 8, 0, 2, 0
0, 0, 10, 10, 0
1, 4, 10, 6, 0
3, 13, 0, 9, 0
4, 15, 5, 5, 5
11, 21, 3, 3, 3
16, 24, 2, 6, 2
24, 27, 1, 7, 1
20, 26, 2, 6, 2
23, 29, 1, 6, 1
32, 29, 1, 8, 1
26, 30, 2, 10, 2
33, 30, 4, 8, 4
34, 30, 4, 6, 4
48, 31, 5, 7, 5
43, 31, 7, 7, 7
27, 31, 7, 5, 7
51, 32, 8, 8, 8
46, 32, 8, 3, 8
40, 33, 11, 8, 11
47, 34, 10, 4, 10
41, 34, 12, 8, 12
61, 34, 12, 4, 12
75, 35, 15, 7, 15
79, 35, 15, 2, 15
73, 35, 15, 1, 15
60, 36, 16, 7, 16
87, 36, 18, 6, 18
85, 36, 18, 3, 18
64, 37, 17, 6, 17
72, 37, 19, 3, 19
93, 37, 19, 3, 19
59, 37, 19, 1, 19
83, 37, 21, 1, 21
67, 38, 22, 5, 22
84, 38, 22, 5, 22
71, 39, 25, 8, 25
91, 40, 26, 7, 26
99, 40, 26, 5, 26
94, 41, 25, 1, 25
8, 24, 47, 9, 3
7, 22, 50, 14, 4
5, 24, 46, 13, 0
9, 24, 49, 14, 3
12, 26, 44, 10, 0
6, 24, 49, 5, 3
10, 26, 48, 9, 2
13, 26, 47, 9, 1
17, 28, 45, 9, 1
15, 28, 45, 2, 1
14, 28, 47, 14, 1
29, 30, 45, 13, 1
25, 32, 45, 4, 3
22, 30, 45, 7, 1
18, 32, 46, 11, 2
28, 34, 44, 4, 2
19, 34, 45, 9, 3
21, 34, 45, 14, 3
31, 36, 46, 1, 4
30, 36, 46, 7, 4
36, 38, 45, 11, 5
39, 38, 45, 5, 5
37, 38, 47, 9, 5
42, 40, 47, 1, 7
44, 42, 46, 9, 8
49, 40, 47, 9, 7
52, 42, 48, 15, 8
45, 44, 47, 1, 9
58, 44, 47, 6, 9
56, 44, 47, 4, 9
38, 44, 49, 13, 9
55, 46, 48, 14, 10
54, 48, 48, 4, 12
35, 46, 49, 2, 11
63, 48, 50, 1, 12
66, 50, 50, 11, 14
50, 50, 49, 15, 13
65, 50, 49, 14, 13
62, 50, 52, 1, 14
53, 52, 51, 1, 15
57, 54, 51, 14, 17
76, 54, 50, 2, 16
74, 54, 52, 2, 16
68, 56, 51, 13, 17
88, 60, 50, 4, 20
70, 58, 51, 4, 19
69, 60, 52, 9, 20
97, 60, 52, 6, 20
78, 62, 51, 14, 21
81, 62, 52, 14, 22
95, 64, 53, 13, 23
80, 64, 53, 15, 23
77, 64, 53, 8, 23
86, 64, 53, 8, 23
90, 66, 54, 1, 24
92, 66, 54, 14, 24
82, 68, 54, 7, 26
89, 66, 54, 4, 24
96, 70, 54, 10, 26
98, 70, 54, 14, 26
