Job ID, Arrival Time, Wait Time, Run Time, Response Time,,,,CPU UTILIZATION
0,0,0,5,0,,,,67.8030303
1,4,4,15,1,,,,
2,9,15,2,15,,,,
4,13,15,7,15,,,,
6,14,16,1,16,,,,
3,24,28,4,14,,,,
5,28,28,15,16,,,,
7,34,24,10,16,,,,
8,36,24,14,16,,,,
9,38,25,12,17,,,,
