Job ID, Arrival Time, Wait Time, Run Time, Response Time,,,,CPU Utilization
1,1,0,2,0,,,,36.49754501
3,7,0,1,0,,,,
4,8,0,2,0,,,,
2,2,10,2,0,,,,
0,0,10,6,0,,,,
5,11,0,10,0,,,,
8,15,0,10,0,,,,
9,17,0,9,0,,,,
13,23,3,1,1,,,,
7,24,3,12,0,,,,
14,25,4,11,2,,,,
6,25,2,4,0,,,,
18,27,0,3,0,,,,
21,27,1,10,1,,,,
23,29,0,4,0,,,,
31,29,0,7,0,,,,
33,30,0,9,0,,,,
24,29,1,2,1,,,,
45,31,1,10,1,,,,
34,31,1,6,1,,,,
46,31,1,6,1,,,,
42,31,2,7,2,,,,
36,32,1,8,1,,,,
44,34,0,7,0,,,,
49,35,0,4,0,,,,
16,26,11,5,2,,,,
17,27,10,15,2,,,,
20,28,9,10,1,,,,
10,27,9,13,0,,,,
19,28,9,9,1,,,,
15,27,9,12,0,,,,
11,28,9,6,0,,,,
12,30,7,7,0,,,,
32,30,7,9,0,,,,
22,30,7,8,0,,,,
35,32,6,6,0,,,,
30,31,8,7,1,,,,
26,31,7,11,0,,,,
38,32,7,4,1,,,,
25,33,7,15,1,,,,
29,33,7,13,1,,,,
27,33,7,3,1,,,,
43,33,7,9,1,,,,
39,36,5,9,1,,,,
28,35,6,11,1,,,,
41,34,7,9,1,,,,
37,35,6,13,1,,,,
48,36,7,11,2,,,,
40,36,5,8,0,,,,
47,37,4,12,0,,,,
