Job ID, Arrival Time, Wait Time, Run Time, Response Time
0, 0, 0, 5, 0
4, 12, 0, 9, 0
6, 16, 3, 1, 3
8, 18, 3, 9, 3
7, 17, 4, 5, 4
14, 22, 1, 7, 1
10, 21, 2, 1, 2
1, 3, 10, 13, 0
12, 23, 2, 3, 2
16, 24, 1, 9, 1
17, 25, 1, 7, 1
15, 26, 1, 10, 1
20, 27, 0, 10, 0
22, 26, 1, 9, 1
19, 27, 1, 1, 1
25, 28, 1, 3, 1
23, 27, 2, 3, 2
29, 30, 1, 4, 1
24, 31, 1, 9, 1
34, 32, 2, 8, 2
42, 33, 3, 1, 3
35, 34, 3, 7, 3
41, 34, 4, 10, 4
62, 38, 5, 8, 5
68, 39, 7, 10, 7
51, 39, 8, 1, 8
66, 39, 9, 5, 9
78, 40, 11, 7, 11
59, 40, 13, 3, 13
61, 40, 14, 9, 14
88, 41, 14, 8, 14
71, 41, 16, 9, 16
84, 42, 17, 5, 17
74, 42, 18, 2, 18
87, 44, 20, 6, 20
97, 44, 21, 2, 21
101, 44, 21, 5, 21
100, 44, 23, 7, 23
98, 44, 24, 9, 24
105, 45, 24, 8, 24
92, 45, 26, 10, 26
102, 45, 26, 7, 26
118, 45, 28, 10, 28
121, 46, 29, 8, 29
108, 46, 30, 7, 30
116, 46, 31, 3, 31
94, 46, 31, 10, 31
136, 47, 32, 10, 32
142, 47, 32, 5, 32
128, 47, 34, 8, 34
135, 47, 34, 2, 34
126, 47, 36, 2, 36
114, 47, 36, 10, 36
149, 47, 38, 5, 38
139, 48, 37, 4, 37
156, 48, 37, 9, 37
119, 49, 41, 6, 41
165, 49, 42, 8, 42
169, 49, 44, 4, 44
122, 49, 44, 3, 44
146, 50, 45, 8, 45
141, 50, 45, 1, 45
187, 50, 47, 7, 47
188, 51, 48, 1, 48
189, 51, 49, 4, 49
143, 51, 50, 4, 50
147, 51, 52, 10, 52
183, 51, 52, 10, 52
180, 51, 54, 9, 54
166, 51, 55, 7, 55
174, 52, 55, 8, 55
181, 52, 57, 3, 57
162, 52, 58, 8, 58
185, 52, 59, 6, 59
154, 52, 59, 9, 59
184, 52, 59, 9, 59
198, 53, 60, 4, 60
177, 52, 61, 3, 61
175, 52, 61, 3, 61
191, 53, 61, 9, 61
203, 54, 65, 9, 65
192, 54, 67, 2, 67
231, 54, 67, 10, 67
224, 54, 67, 9, 67
230, 54, 69, 5, 69
202, 55, 70, 2, 70
217, 55, 72, 2, 72
211, 55, 72, 5, 72
204, 55, 73, 6, 73
201, 56, 73, 10, 73
210, 56, 75, 7, 75
208, 56, 75, 3, 75
219, 56, 76, 2, 76
233, 56, 77, 2, 77
246, 56, 78, 2, 78
226, 56, 79, 8, 79
247, 56, 81, 4, 81
222, 57, 80, 3, 80
220, 57, 81, 7, 81
232, 57, 82, 8, 82
223, 57, 82, 5, 82
241, 57, 84, 6, 84
237, 58, 84, 4, 84
2, 17, 126, 5, 0
5, 19, 126, 3, 2
244, 59, 84, 1, 84
3, 21, 123, 14, 0
9, 23, 125, 10, 3
11, 27, 120, 1, 2
13, 25, 120, 6, 0
18, 31, 116, 12, 1
21, 32, 117, 6, 2
26, 33, 115, 10, 1
27, 33, 115, 13, 1
37, 35, 114, 2, 1
32, 35, 115, 11, 1
31, 37, 114, 6, 2
28, 35, 115, 9, 1
30, 37, 115, 1, 2
33, 37, 116, 7, 2
45, 39, 115, 11, 3
46, 39, 115, 6, 3
38, 41, 116, 6, 5
43, 41, 116, 11, 4
52, 42, 115, 8, 4
50, 41, 116, 2, 4
40, 43, 115, 11, 4
36, 43, 117, 13, 5
39, 44, 116, 9, 5
48, 43, 117, 3, 5
49, 45, 117, 15, 6
47, 45, 118, 2, 6
58, 47, 117, 3, 7
53, 46, 117, 11, 6
54, 47, 117, 7, 6
44, 47, 119, 4, 7
65, 49, 118, 11, 8
69, 49, 118, 4, 8
60, 51, 119, 11, 10
72, 51, 120, 3, 10
64, 52, 120, 10, 11
55, 51, 120, 2, 10
57, 53, 120, 14, 11
79, 53, 121, 2, 11
56, 55, 121, 1, 13
63, 54, 121, 2, 12
67, 55, 122, 14, 13
70, 57, 122, 3, 14
76, 58, 122, 3, 15
80, 57, 122, 5, 14
90, 59, 123, 3, 16
73, 59, 123, 2, 15
86, 61, 123, 8, 17
89, 60, 123, 14, 16
99, 61, 124, 5, 17
104, 63, 124, 6, 18
81, 63, 125, 14, 19
85, 63, 124, 15, 18
82, 64, 125, 12, 19
95, 65, 125, 4, 19
77, 65, 125, 3, 19
103, 65, 126, 6, 20
75, 67, 126, 12, 21
91, 68, 127, 6, 22
96, 69, 127, 6, 23
83, 69, 127, 2, 23
110, 71, 127, 2, 24
107, 71, 129, 9, 25
117, 73, 128, 5, 26
123, 72, 128, 3, 25
129, 74, 129, 3, 27
125, 75, 130, 5, 28
111, 76, 130, 13, 29
109, 75, 130, 3, 28
130, 77, 130, 6, 29
132, 77, 131, 6, 29
93, 80, 131, 11, 32
115, 79, 131, 13, 31
106, 81, 131, 8, 32
145, 82, 132, 2, 33
151, 84, 132, 12, 35
140, 83, 132, 15, 34
113, 85, 133, 4, 36
133, 86, 134, 6, 37
127, 89, 133, 14, 39
120, 88, 133, 13, 38
157, 89, 134, 15, 39
138, 89, 135, 6, 39
150, 91, 135, 10, 41
144, 90, 135, 2, 40
112, 91, 136, 14, 41
134, 91, 136, 1, 40
124, 93, 136, 5, 42
160, 93, 136, 6, 42
137, 94, 137, 2, 43
170, 95, 138, 7, 44
161, 97, 137, 11, 45
153, 96, 137, 4, 44
131, 98, 138, 14, 46
148, 99, 139, 13, 47
179, 100, 139, 11, 48
173, 99, 139, 13, 47
176, 101, 139, 11, 48
155, 101, 141, 10, 49
164, 103, 140, 1, 50
193, 103, 140, 15, 50
159, 104, 141, 4, 51
197, 105, 142, 9, 52
158, 107, 142, 15, 54
195, 106, 142, 10, 53
168, 107, 143, 10, 54
163, 109, 143, 3, 55
190, 110, 143, 7, 56
194, 109, 143, 11, 55
199, 111, 144, 6, 57
152, 111, 145, 4, 57
215, 117, 144, 11, 62
167, 114, 145, 4, 60
182, 117, 145, 14, 62
216, 117, 146, 4, 62
229, 119, 146, 3, 64
171, 118, 146, 3, 63
206, 119, 147, 6, 64
172, 119, 148, 2, 64
221, 121, 147, 11, 65
214, 121, 148, 15, 65
200, 122, 149, 10, 66
240, 125, 149, 6, 69
196, 124, 149, 10, 68
228, 125, 150, 12, 69
239, 126, 151, 5, 70
186, 127, 151, 4, 71
178, 127, 151, 15, 71
213, 128, 151, 13, 71
212, 129, 152, 10, 72
207, 131, 151, 10, 73
227, 131, 151, 7, 73
225, 132, 152, 3, 74
209, 133, 153, 8, 75
242, 135, 153, 8, 77
235, 135, 153, 9, 77
248, 137, 154, 12, 79
234, 137, 155, 6, 79
238, 139, 154, 15, 80
249, 138, 155, 9, 80
218, 141, 155, 15, 82
236, 142, 156, 13, 83
245, 143, 155, 10, 83
243, 143, 155, 13, 83
