Job ID, Arrival Time, Wait Time, Run Time, Response Time
3, 6, 6, 2, 6
4, 8, 5, 7, 5
6, 11, 3, 9, 3
7, 12, 4, 2, 4
10, 14, 3, 4, 3
8, 16, 3, 3, 3
13, 16, 5, 1, 5
19, 20, 5, 1, 5
16, 20, 7, 4, 7
21, 21, 8, 10, 8
23, 25, 9, 6, 9
30, 26, 11, 1, 11
31, 26, 13, 1, 13
29, 27, 14, 9, 14
37, 27, 16, 3, 16
36, 28, 16, 7, 16
44, 28, 18, 10, 18
41, 29, 19, 4, 19
38, 30, 21, 5, 21
52, 31, 21, 10, 21
49, 31, 22, 8, 22
51, 31, 24, 7, 24
42, 32, 25, 8, 25
46, 32, 26, 7, 26
54, 33, 28, 1, 28
57, 34, 31, 2, 31
63, 34, 34, 4, 34
55, 35, 36, 10, 36
71, 35, 37, 4, 37
56, 36, 38, 7, 38
76, 36, 39, 2, 39
65, 36, 41, 7, 41
70, 38, 49, 5, 49
80, 38, 51, 8, 51
83, 39, 54, 4, 54
91, 40, 55, 9, 55
78, 40, 56, 1, 56
81, 40, 57, 6, 57
82, 41, 60, 7, 60
107, 41, 61, 5, 61
102, 42, 62, 8, 62
106, 42, 63, 2, 63
103, 42, 66, 6, 66
88, 42, 68, 2, 68
112, 42, 71, 3, 71
95, 42, 72, 7, 72
128, 44, 76, 5, 76
101, 44, 79, 6, 79
130, 45, 80, 6, 80
131, 45, 81, 6, 81
122, 45, 84, 5, 84
111, 46, 89, 5, 89
108, 46, 90, 1, 90
115, 46, 93, 2, 93
125, 47, 96, 10, 96
153, 48, 101, 5, 101
148, 48, 103, 6, 103
152, 48, 105, 2, 105
154, 49, 105, 3, 105
156, 49, 107, 3, 107
159, 49, 109, 7, 109
145, 49, 110, 5, 110
142, 49, 111, 8, 111
139, 50, 116, 8, 116
164, 51, 120, 10, 120
187, 52, 128, 5, 128
163, 52, 129, 10, 129
173, 52, 130, 6, 130
186, 53, 130, 6, 130
167, 53, 131, 7, 131
190, 53, 132, 8, 132
162, 53, 134, 4, 134
196, 53, 135, 3, 135
182, 53, 136, 3, 136
202, 54, 141, 10, 141
184, 54, 146, 5, 146
178, 54, 147, 10, 147
210, 55, 147, 10, 147
214, 55, 148, 1, 148
198, 56, 152, 6, 152
220, 56, 154, 8, 154
183, 56, 156, 8, 156
204, 56, 158, 8, 158
218, 57, 159, 1, 159
216, 57, 160, 10, 160
192, 57, 164, 7, 164
197, 57, 166, 8, 166
199, 58, 168, 2, 168
222, 58, 169, 1, 169
238, 58, 170, 8, 170
237, 58, 172, 6, 172
225, 59, 177, 1, 177
246, 59, 179, 3, 179
235, 59, 180, 3, 180
231, 60, 185, 4, 185
236, 60, 186, 8, 186
