Job ID, Arrival Time, Wait Time, Run Time, Response Time
0, 0, 0, 8, 0
2, 4, 4, 2, 4
1, 2, 0, 10, 0
3, 7, 8, 1, 3
4, 9, 3, 2, 3
6, 14, 0, 3, 0
8, 18, 6, 3, 6
9, 19, 7, 6, 7
13, 25, 5, 8, 5
15, 25, 6, 1, 6
19, 29, 6, 8, 6
23, 32, 5, 3, 5
21, 33, 6, 7, 6
22, 34, 9, 6, 9
32, 35, 9, 6, 9
28, 36, 11, 5, 11
37, 38, 12, 3, 12
43, 39, 16, 5, 16
35, 40, 19, 8, 19
42, 40, 20, 10, 20
49, 41, 24, 3, 24
48, 41, 25, 7, 25
63, 43, 30, 3, 30
58, 44, 30, 1, 30
52, 44, 31, 10, 31
51, 44, 32, 2, 32
68, 45, 35, 9, 35
67, 45, 37, 10, 37
60, 45, 38, 2, 38
74, 45, 39, 4, 39
66, 46, 42, 2, 42
77, 47, 44, 9, 44
85, 47, 45, 8, 45
79, 47, 46, 3, 46
71, 47, 47, 9, 47
87, 48, 50, 8, 50
83, 48, 52, 3, 52
73, 49, 54, 8, 54
86, 50, 55, 3, 55
82, 50, 56, 4, 56
91, 51, 58, 2, 58
88, 51, 62, 8, 62
92, 52, 62, 10, 62
5, 24, 93, 15, 0
7, 27, 91, 1, 0
10, 29, 94, 14, 4
11, 30, 94, 8, 4
12, 31, 95, 1, 5
16, 34, 94, 9, 6
18, 35, 94, 3, 6
14, 36, 94, 5, 6
17, 38, 93, 14, 6
20, 40, 92, 9, 6
27, 42, 92, 9, 7
24, 43, 93, 11, 8
25, 44, 93, 13, 8
30, 47, 92, 15, 9
26, 48, 93, 15, 10
29, 50, 93, 1, 11
31, 51, 94, 11, 12
33, 53, 94, 6, 13
38, 54, 94, 1, 13
34, 55, 95, 4, 14
41, 56, 96, 8, 15
36, 58, 96, 7, 16
47, 59, 97, 3, 17
39, 60, 98, 8, 18
50, 63, 98, 13, 20
45, 64, 99, 12, 21
46, 65, 100, 9, 22
40, 66, 101, 15, 23
54, 69, 102, 8, 26
57, 70, 102, 14, 26
55, 71, 102, 3, 26
44, 72, 103, 9, 27
56, 73, 104, 11, 28
59, 74, 105, 6, 29
65, 79, 105, 5, 33
53, 80, 106, 9, 34
70, 81, 106, 14, 34
62, 83, 107, 13, 36
61, 87, 108, 8, 40
64, 88, 109, 8, 41
80, 89, 109, 13, 41
78, 91, 110, 14, 43
84, 92, 111, 3, 44
72, 97, 111, 15, 48
69, 98, 111, 6, 48
81, 99, 112, 6, 49
93, 101, 113, 14, 51
94, 103, 113, 13, 52
75, 104, 114, 2, 53
76, 106, 115, 7, 55
98, 109, 115, 9, 57
95, 112, 116, 12, 59
99, 113, 117, 11, 60
89, 114, 118, 6, 61
97, 117, 118, 7, 63
90, 118, 119, 10, 64
