Job ID, Arrival Time, Wait Time, Run Time, Response Time,,,,CPU Utilization
1,3,7,7,7,,,,90.53188527
2,7,5,2,5,,,,
6,16,6,3,6,,,,
9,17,7,4,7,,,,
10,21,7,9,7,,,,
11,21,9,7,9,,,,
12,22,10,5,10,,,,
13,24,10,4,10,,,,
19,26,14,10,14,,,,
18,26,18,6,18,,,,
17,27,21,8,21,,,,
23,27,23,2,23,,,,
20,28,24,3,24,,,,
24,28,26,8,26,,,,
28,29,27,2,27,,,,
26,30,28,9,28,,,,
31,31,33,4,33,,,,
33,32,42,9,42,,,,
25,32,44,8,44,,,,
39,35,47,2,47,,,,
38,36,52,9,52,,,,
44,36,54,1,54,,,,
40,37,59,3,59,,,,
42,38,60,2,60,,,,
48,39,61,3,61,,,,
0,10,98,3,0,,,,
3,16,100,9,6,,,,
4,18,99,1,5,,,,
5,20,101,13,7,,,,
7,22,99,12,5,,,,
8,28,96,5,6,,,,
14,38,94,4,12,,,,
15,40,95,14,13,,,,
16,44,96,6,16,,,,
21,48,97,11,19,,,,
27,62,96,13,30,,,,
30,64,98,3,32,,,,
22,68,99,3,35,,,,
34,70,101,15,37,,,,
29,72,102,11,38,,,,
36,74,104,8,40,,,,
32,80,105,9,45,,,,
41,82,106,5,46,,,,
35,86,107,7,49,,,,
37,88,109,4,51,,,,
43,94,109,12,55,,,,
45,96,111,8,57,,,,
46,104,111,9,63,,,,
49,106,111,11,63,,,,
47,108,113,14,65,,,,
