Job ID, Arrival Time, Wait Time, Run Time, Response Time
0, 0, 0, 5, 0
1, 4, 0, 6, 0
5, 16, 0, 3, 0
2, 8, 10, 2, 0
4, 11, 10, 2, 0
3, 10, 10, 8, 0
16, 24, 5, 4, 5
18, 29, 3, 9, 3
19, 27, 5, 7, 5
22, 28, 4, 10, 4
21, 30, 3, 6, 3
27, 32, 1, 6, 1
20, 31, 2, 10, 2
34, 35, 0, 9, 0
33, 35, 1, 6, 1
31, 35, 1, 8, 1
29, 36, 1, 8, 1
48, 36, 2, 9, 2
65, 38, 2, 3, 2
40, 37, 3, 9, 3
74, 38, 3, 4, 3
68, 39, 3, 5, 3
63, 39, 4, 7, 4
72, 40, 4, 4, 4
49, 40, 4, 4, 4
81, 40, 4, 1, 4
73, 41, 4, 5, 4
67, 41, 5, 4, 5
89, 41, 6, 3, 6
97, 41, 6, 4, 6
80, 41, 7, 4, 7
99, 41, 7, 7, 7
91, 41, 7, 3, 7
83, 42, 7, 8, 7
116, 42, 7, 2, 7
102, 43, 8, 4, 8
92, 43, 8, 6, 8
82, 43, 8, 4, 8
114, 43, 9, 5, 9
113, 43, 9, 8, 9
125, 43, 10, 7, 10
104, 43, 10, 8, 10
115, 44, 10, 6, 10
112, 44, 10, 5, 10
144, 44, 11, 4, 11
120, 44, 12, 4, 12
131, 44, 13, 9, 13
90, 44, 14, 2, 14
154, 45, 14, 2, 14
111, 45, 14, 3, 14
108, 45, 15, 5, 15
138, 45, 15, 7, 15
134, 45, 16, 9, 16
161, 46, 15, 8, 15
133, 46, 16, 4, 16
171, 46, 16, 8, 16
165, 46, 18, 2, 18
158, 46, 18, 10, 18
182, 46, 18, 4, 18
162, 46, 19, 7, 19
188, 47, 19, 5, 19
192, 47, 19, 10, 19
194, 47, 20, 8, 20
199, 47, 20, 8, 20
148, 48, 20, 4, 20
176, 47, 21, 6, 21
169, 48, 20, 10, 20
159, 48, 21, 3, 21
200, 48, 21, 3, 21
149, 48, 22, 6, 22
206, 48, 23, 8, 23
198, 48, 23, 9, 23
172, 49, 23, 2, 23
145, 48, 24, 4, 24
152, 49, 23, 3, 23
173, 49, 25, 2, 25
175, 49, 26, 1, 26
186, 49, 26, 6, 26
208, 49, 27, 1, 27
187, 49, 27, 5, 27
193, 49, 28, 4, 28
219, 50, 28, 8, 28
174, 50, 28, 3, 28
214, 50, 28, 5, 28
204, 50, 29, 6, 29
178, 50, 29, 10, 29
185, 50, 30, 2, 30
245, 50, 30, 9, 30
197, 50, 31, 2, 31
191, 50, 31, 8, 31
205, 51, 31, 2, 31
225, 51, 31, 2, 31
190, 51, 32, 2, 32
232, 52, 32, 3, 32
218, 51, 33, 7, 33
212, 52, 33, 4, 33
227, 52, 33, 8, 33
240, 53, 35, 9, 35
248, 53, 35, 2, 35
239, 54, 35, 7, 35
241, 54, 35, 6, 35
6, 29, 61, 14, 0
7, 31, 59, 13, 0
12, 30, 65, 15, 5
9, 32, 58, 5, 0
10, 32, 59, 1, 0
17, 32, 65, 3, 6
11, 32, 59, 4, 0
13, 33, 62, 9, 4
24, 34, 60, 3, 2
15, 33, 64, 13, 5
14, 33, 59, 5, 0
8, 33, 59, 1, 0
30, 36, 59, 14, 2
32, 36, 58, 7, 1
28, 35, 59, 15, 1
35, 36, 58, 2, 1
37, 37, 57, 10, 0
25, 37, 58, 8, 1
23, 36, 60, 2, 2
26, 37, 58, 8, 1
41, 39, 57, 1, 1
44, 38, 58, 2, 1
36, 38, 58, 11, 1
42, 39, 57, 7, 1
46, 40, 57, 7, 1
51, 40, 58, 1, 2
43, 39, 59, 3, 2
38, 40, 57, 13, 1
57, 41, 58, 6, 2
53, 41, 58, 9, 2
45, 41, 58, 15, 2
54, 41, 58, 1, 2
39, 43, 58, 14, 3
61, 42, 58, 12, 2
64, 42, 58, 9, 2
60, 43, 58, 9, 3
84, 44, 58, 14, 3
